match_id,stage,group,date,home_id,away_id,home_name,away_name,actual_home_goals,actual_away_goals,status,outcome_90,outcome_120,advancer_id,model_p_home_90,model_p_draw_90,model_p_away_90,model_p_home_120,model_p_draw_120,model_p_away_120,model_p_home_advance,model_p_away_advance,model_xg_home,model_xg_away,model_modal_home,model_modal_away,model_modal_p,model_pred_outcome,bet365_home_odds,bet365_draw_odds,bet365_away_odds,bet365_p_home,bet365_p_draw,bet365_p_away,pinnacle_home_odds,pinnacle_draw_odds,pinnacle_away_odds,pinnacle_p_home,pinnacle_p_draw,pinnacle_p_away,model_1x2_correct,model_exact_correct,model_advance_correct,model_log_loss,model_brier
G30,group,C,2026-06-19,brazil,haiti,Brazil,Haiti,3,0,FT,home,home,,0.9212,0.06,0.0188,,,,,,3.74,0.51,3,0,,home,1.1,12.5,25.0,0.8834,0.0777,0.0389,1.137,11.0,20.5,0.8629,0.0892,0.0479,True,True,,0.0821,0.0102
G31,group,D,2026-06-19,united_states,australia,United States,Australia,2,0,FT,home,home,,0.482,0.2669,0.2511,,,,,,1.56,1.06,1,1,,home,1.62,4.6,5.25,0.6021,0.2121,0.1858,1.588,4.45,6.0,0.6167,0.2201,0.1632,True,False,,0.7299,0.4027
G32,group,D,2026-06-19,turkey,paraguay,Turkey,Paraguay,0,1,FT,away,away,,0.4625,0.288,0.2496,,,,,,1.38,0.94,1,1,,home,2.08,3.42,3.96,0.4687,0.2851,0.2462,2.17,3.35,3.79,0.4504,0.2917,0.2579,False,False,,1.388,0.86
G33,group,E,2026-06-20,germany,ivory_coast,Germany,Ivory Coast,2,1,FT,home,home,,0.6394,0.2302,0.1304,,,,,,1.84,0.7,1,0,,home,1.51,4.85,6.4,0.6463,0.2012,0.1525,1.487,4.8,7.0,0.6569,0.2035,0.1396,True,False,,0.4472,0.2
G34,group,E,2026-06-20,ecuador,curacao,Ecuador,Curacao,0,0,FT,draw,draw,,0.767,0.171,0.062,,,,,,2.19,0.48,2,0,,home,1.16,9.5,16.0,0.8371,0.1022,0.0607,1.166,9.5,17.0,0.8394,0.103,0.0576,False,False,,1.7661,1.2794
G35,group,F,2026-06-20,netherlands,sweden,Netherlands,Sweden,5,1,FT,home,home,,0.6842,0.1898,0.126,,,,,,2.3,0.89,2,0,,home,1.73,4.12,4.9,0.564,0.2368,0.1991,1.724,4.09,4.98,0.5657,0.2385,0.1958,True,False,,0.3795,0.1516
G36,group,F,2026-06-20,tunisia,japan,Tunisia,Japan,0,4,FT,away,away,,0.0717,0.1849,0.7434,,,,,,0.5,2.1,0,2,,away,8.6,4.35,1.47,0.1133,0.224,0.6628,8.0,4.3,1.502,0.1221,0.2273,0.6506,True,False,,0.2965,0.1051
G37,group,G,2026-06-21,belgium,iran,Belgium,Iran,0,0,FT,draw,draw,,0.6713,0.2056,0.1231,,,,,,2.08,0.78,2,0,,home,1.42,4.9,8.5,0.6864,0.1989,0.1147,1.454,4.6,8.7,0.6742,0.2131,0.1127,False,False,,1.5819,1.0969
G38,group,G,2026-06-21,new_zealand,egypt,New Zealand,Egypt,1,3,FT,away,away,,0.205,0.2943,0.5007,,,,,,0.77,1.36,0,1,,away,6.1,4.15,1.61,0.1598,0.2349,0.6054,6.0,3.9,1.662,0.1626,0.2502,0.5871,True,False,,0.6917,0.3779
G39,group,H,2026-06-21,spain,saudi_arabia,Spain,Saudi Arabia,4,0,FT,home,home,,0.9077,0.076,0.0163,,,,,,3.11,0.31,3,0,,home,1.1,12.0,27.0,0.8831,0.0809,0.036,1.121,11.25,23.5,0.8716,0.0868,0.0416,True,False,,0.0968,0.0146
G40,group,H,2026-06-21,uruguay,cape_verde,Uruguay,Cape Verde,2,2,FT,draw,draw,,0.6981,0.2219,0.0801,,,,,,1.78,0.44,1,0,,home,1.41,4.55,10.0,0.6892,0.2136,0.0972,1.362,4.37,9.39,0.6865,0.214,0.0996,False,False,,1.5057,1.0992
G41,group,I,2026-06-22,france,iraq,France,Iraq,3,0,FT,home,home,,0.8997,0.0818,0.0185,,,,,,3.04,0.32,3,0,,home,1.08,12.5,40.0,0.8981,0.0776,0.0243,1.07,11.83,23.34,0.8801,0.0796,0.0403,True,True,,0.1057,0.0171
G42,group,I,2026-06-22,norway,senegal,Norway,Senegal,3,2,FT,home,home,,0.452,0.285,0.263,,,,,,1.39,1.0,1,1,,home,2.39,3.46,3.16,0.4087,0.2823,0.3091,2.43,3.44,3.1,0.4016,0.2837,0.3148,True,False,,0.7941,0.4507
G43,group,J,2026-06-22,argentina,austria,Argentina,Austria,2,0,FT,home,home,,0.6846,0.2289,0.0864,,,,,,1.74,0.46,1,0,,home,1.48,4.45,8.0,0.6589,0.2192,0.1219,1.462,4.2,7.73,0.6505,0.2264,0.123,True,False,,0.3789,0.1594
G44,group,J,2026-06-22,jordan,algeria,Jordan,Algeria,1,2,FT,away,away,,0.1766,0.23,0.5934,,,,,,0.96,1.92,1,1,,away,6.75,4.5,1.53,0.1447,0.217,0.6383,7.0,4.65,1.476,0.138,0.2077,0.6543,True,False,,0.5218,0.2494
G45,group,K,2026-06-23,portugal,uzbekistan,Portugal,Uzbekistan,5,0,FT,home,home,,0.8192,0.1362,0.0446,,,,,,2.51,0.45,2,0,,home,1.15,9.4,21.0,0.8495,0.1039,0.0465,1.165,8.75,21.75,0.8427,0.1122,0.0451,True,False,,0.1995,0.0532
G46,group,K,2026-06-23,colombia,dr_congo,Colombia,DR Congo,1,0,FT,home,home,,0.6773,0.2268,0.0959,,,,,,1.78,0.52,1,0,,home,1.57,3.96,7.3,0.6205,0.246,0.1335,1.568,4.1,7.25,0.6255,0.2392,0.1353,True,True,,0.3897,0.1648
G47,group,L,2026-06-23,england,ghana,England,Ghana,0,0,FT,draw,draw,,0.8528,0.1186,0.0286,,,,,,2.56,0.33,2,0,,home,1.19,7.6,18.5,0.8191,0.1282,0.0527,1.19,7.75,18.5,0.8211,0.1261,0.0528,False,False,,2.1318,1.5049
G48,group,L,2026-06-23,panama,croatia,Panama,Croatia,0,1,FT,away,away,,0.111,0.1962,0.6929,,,,,,0.74,2.15,0,2,,away,8.2,4.45,1.48,0.1193,0.2198,0.6609,7.31,4.42,1.438,0.1292,0.2137,0.657,True,False,,0.3669,0.1451
G49,group,A,2026-06-24,czech_republic,mexico,Czech Republic,Mexico,0,3,FT,away,away,,0.1071,0.193,0.6999,,,,,,0.73,2.18,0,2,,away,3.85,3.95,1.95,0.2532,0.2468,0.5,4.59,3.94,1.735,0.2079,0.2422,0.5499,True,False,,0.3568,0.1388
G50,group,A,2026-06-24,south_africa,south_korea,South Africa,South Korea,1,0,FT,home,home,,0.1484,0.2541,0.5975,,,,,,0.7,1.65,0,1,,away,6.5,3.92,1.63,0.1505,0.2495,0.6,5.25,3.7,1.769,0.1856,0.2634,0.5509,False,False,,1.9078,1.1468
G51,group,B,2026-06-24,switzerland,canada,Switzerland,Canada,2,1,FT,home,home,,0.3673,0.2764,0.3563,,,,,,1.33,1.3,1,1,,home,2.52,3.12,3.28,0.3882,0.3135,0.2983,2.56,2.98,3.07,0.3713,0.319,0.3097,True,False,,1.0017,0.6037
G52,group,B,2026-06-24,bosnia_and_herzegovina,qatar,Bosnia and Herzegovina,Qatar,3,1,FT,home,home,,0.4295,0.2885,0.282,,,,,,1.34,1.04,1,1,,home,1.39,5.4,8.0,0.6987,0.1799,0.1214,1.444,4.82,6.59,0.6585,0.1973,0.1443,True,False,,0.8451,0.4882
G53,group,C,2026-06-24,scotland,brazil,Scotland,Brazil,0,3,FT,away,away,,0.0727,0.1657,0.7616,,,,,,0.59,2.34,0,2,,away,11.0,5.75,1.31,0.0884,0.1691,0.7424,10.16,5.23,1.324,0.0942,0.183,0.7228,True,False,,0.2723,0.0895
G54,group,C,2026-06-24,morocco,haiti,Morocco,Haiti,4,2,FT,home,home,,0.7043,0.2085,0.0872,,,,,,1.92,0.53,1,0,,home,1.19,7.6,17.0,0.8153,0.1277,0.0571,1.324,5.25,7.92,0.7045,0.1777,0.1178,True,False,,0.3505,0.1385
G55,group,D,2026-06-25,turkey,united_states,Turkey,United States,3,2,FT,home,home,,0.2245,0.2332,0.5423,,,,,,1.17,1.92,1,1,,away,2.7,3.4,2.5,0.3479,0.2763,0.3758,3.43,4.03,2.07,0.2851,0.2426,0.4723,False,False,,1.4939,0.9499
G56,group,D,2026-06-25,paraguay,australia,Paraguay,Australia,0,0,FT,draw,draw,,0.2702,0.3291,0.4008,,,,,,0.83,1.08,0,0,,away,2.75,2.27,4.55,0.3551,0.4302,0.2146,2.53,2.38,4.11,0.3733,0.3969,0.2298,False,True,,1.1115,0.6838
